playlist,song_name,song_popularity,song_duration_ms,song_explicit,audio_danceability,audio_energy,audio_key,audio_loudness,audio_mode,audio_speechiness,audio_acousticness,audio_instrumentalness,audio_liveness,audio_valence,audio_tempo,audio_time_signature,album_name,album_release_date,album_total_tracks,album_popularity,artist_popularity,artist_followers,genre_abstract hip hop,genre_african electronic,genre_afro soul,genre_afrobeat,genre_afrobeat brasileiro,genre_afrobeats,genre_afrofuturism,genre_afrofuturismo brasileiro,genre_afropop,genre_afroswing,genre_album rock,genre_alt z,genre_alternative americana,genre_alternative dance,genre_alternative hip hop,genre_alternative metal,genre_alternative pop rock,genre_alternative r&b,genre_alternative rock,genre_anti-folk,genre_argentine hip hop,genre_argentine rock,genre_art pop,genre_atl hip hop,genre_auckland indie,genre_aussietronica,genre_austindie,genre_australian dance,genre_australian electropop,genre_australian hip hop,genre_australian house,genre_australian indie,genre_australian pop,genre_australian psych,genre_australian r&b,genre_australian reggae fusion,genre_australian surf rock,genre_austrian indie,genre_balkan beats,genre_balkan brass,genre_banjo,genre_baroque pop,genre_bases de freestyle,genre_bass house,genre_bass trap,genre_bassline,genre_bedroom pop,genre_belgian hip hop,genre_belgian pop,genre_bergen indie,genre_big beat,genre_birmingham grime,genre_birmingham indie,genre_bleep techno,genre_boom bap brasileiro,genre_bossbeat,genre_brazilian hip hop,genre_brazilian indie,genre_brazilian reggae,genre_brazilian rock,genre_breakbeat,genre_brighton indie,genre_bristol indie,genre_british experimental,genre_british indie rock,genre_british invasion,genre_british soul,genre_britpop,genre_britpop revival,genre_brostep,genre_canadian electronic,genre_canadian electropop,genre_canadian hip hop,genre_canadian house,genre_canadian rock,genre_candy pop,genre_caracas indie,genre_chamber pop,genre_chamber psych,genre_channel islands indie,genre_charva,genre_chicago rap,genre_chill abstract hip hop,genre_chillwave,genre_christian rock,genre_classic dubstep,genre_classic rock,genre_cologne indie,genre_colombian hip hop,genre_colombian indie,genre_colombian pop,genre_colombian rock,genre_complextro,genre_conscious hip hop,genre_crank wave,genre_cuban alternative,genre_cumbia,genre_cyberpunk,genre_dance pop,genre_dance rock,genre_dance-punk,genre_dancefloor dnb,genre_dancehall,genre_dancehall queen,genre_danish electropop,genre_danish hip hop,genre_danish pop,genre_dark disco,genre_dark trap,genre_deep dubstep,genre_deep house,genre_deep liquid bass,genre_deep underground hip hop,genre_desi hip hop,genre_desi trap,genre_downtempo,genre_downtempo bass,genre_dream pop,genre_dream trance,genre_drill,genre_drill espanol,genre_drum and bass,genre_dub brasileiro,genre_dublin indie,genre_dutch dnb,genre_dutch edm,genre_dutch house,genre_dutch indie,genre_dutch indie rock,genre_dutch rock,genre_east coast hip hop,genre_edinburgh indie,genre_edm,genre_electra,genre_electro,genre_electro house,genre_electro-pop francais,genre_electroclash,genre_electronic rock,genre_electronic trap,genre_electronica,genre_electropop,genre_emo rap,genre_english indie rock,genre_escape room,genre_etherpop,genre_experimental house,genre_experimental r&b,genre_fidget house,genre_filmi,genre_filter house,genre_float house,genre_folk-pop,genre_frauenrap,genre_french dnb,genre_french hip hop,genre_french indie pop,genre_french indietronica,genre_french psychedelic,genre_french shoegaze,genre_french synthpop,genre_funk carioca,genre_funk ostentacao,genre_funk pop,genre_funk rj,genre_funktronica,genre_future bass,genre_future garage,genre_g-house,genre_game mood,genre_gangster rap,genre_garage rock,genre_garage rock revival,genre_gauze pop,genre_gengetone,genre_german alternative rap,genre_german hip hop,genre_german house,genre_german indie,genre_german pop,genre_german techno,genre_glitch hop,genre_glitchcore,genre_grime,genre_gypsy fusion,genre_gypsy punk,genre_halftime dnb,genre_hamburg electronic,genre_hardcore hip hop,genre_harlem hip hop,genre_hip hop,genre_hip hop tuga,genre_hopebeat,genre_house,genre_hyperpop,genre_icelandic indie,genre_icelandic rock,genre_indie anthem-folk,genre_indie curitibano,genre_indie electropop,genre_indie emo,genre_indie folk,genre_indie garage rock,genre_indie hip hop,genre_indie pop,genre_indie poptimism,genre_indie r&b,genre_indie rock,genre_indie soul,genre_indie surf,genre_indie valenciana,genre_indietronica,genre_industrial,genre_industrial metal,genre_industrial rock,genre_instrumental grime,genre_instrumental hip hop,genre_irish hip hop,genre_irish indie rock,genre_irish pop,genre_irish rock,genre_israeli indie,genre_israeli pop,genre_italian adult pop,genre_italian hip hop,genre_italian pop,genre_j-rap,genre_jam band,genre_jamaican dancehall,genre_japanese electropop,genre_jazztronica,genre_jewish hip hop,genre_josei rap,genre_kent indie,genre_kentucky hip hop,genre_kenyan r&b,genre_kiwi rock,genre_korean dream pop,genre_kwaito,genre_la indie,genre_la pop,genre_latin alternative,genre_latin funk,genre_latin rock,genre_latin viral pop,genre_latintronica,genre_leicester indie,genre_leipzig electronic,genre_limerick indie,genre_liquid funk,genre_lo-fi house,genre_london indie,genre_london rap,genre_louisville indie,genre_manchester hip hop,genre_manchester indie,genre_manguebeat,genre_mashup,genre_melancholia,genre_melbourne indie,genre_melodic drill,genre_metropopolis,genre_miami hip hop,genre_milan indie,genre_minimal tech house,genre_minimal techno,genre_modern alternative pop,genre_modern alternative rock,genre_modern blues rock,genre_modern bollywood,genre_modern hard rock,genre_modern indie pop,genre_modern jungle,genre_modern power pop,genre_modern reggae,genre_modern rock,genre_moombahton,genre_mpb,genre_multidisciplinary,genre_nantes indie,genre_neo-psychedelic,genre_neo-synthpop,genre_neon pop punk,genre_new americana,genre_new french touch,genre_new jersey rap,genre_new rave,genre_nigerian pop,genre_noise pop,genre_north east england indie,genre_northern irish indie,genre_norwegian contemporary jazz,genre_norwegian indie,genre_norwegian jazz,genre_norwegian pop,genre_norwegian pop rap,genre_nottingham hip hop,genre_nottingham indie,genre_nova mpb,genre_nu disco,genre_nu gaze,genre_nu jazz,genre_nu metal,genre_nu-cumbia,genre_nyc pop,genre_nz hip hop,genre_nz pop,genre_oakland hip hop,genre_oakland indie,genre_old school atlanta hip hop,genre_old school bassline,genre_one-person band,genre_oxford indie,genre_pacific islands pop,genre_pagode baiano,genre_panamanian pop,genre_permanent wave,genre_philly indie,genre_piano rock,genre_pixel,genre_political hip hop,genre_polynesian hip hop,genre_pop,genre_pop catracho,genre_pop dance,genre_pop edm,genre_pop electronico,genre_pop emo,genre_pop house,genre_pop lgbtq+ brasileira,genre_pop nacional,genre_pop punk,genre_pop rap,genre_pop rock,genre_pop urbaine,genre_pop virale italiano,genre_portland hip hop,genre_portuguese rock,genre_post-grunge,genre_pov: indie,genre_progressive electro house,genre_progressive house,genre_psychedelic hip hop,genre_psychedelic pop,genre_puerto rican indie,genre_puerto rican pop,genre_queens hip hop,genre_queercore,genre_r&b brasileiro,genre_r&b en espanol,genre_raboday,genre_rage rap,genre_ragga jungle,genre_rap,genre_rap canario,genre_rap feminino nacional,genre_rap latina,genre_rap nacional antigo,genre_rap napoletano,genre_rave,genre_reading indie,genre_reggae fusion,genre_reggaeton,genre_reggaeton colombiano,genre_rochester ny indie,genre_rock,genre_rock en espanol,genre_rock independant francais,genre_rock uruguayo,genre_rome indie,genre_roots rock,genre_sad lo-fi,genre_sad rap,genre_salsa choke,genre_samba reggae,genre_scandinavian r&b,genre_scottish electronic,genre_scottish hip hop,genre_scottish indie rock,genre_scottish rock,genre_seattle indie,genre_shimmer pop,genre_shimmer psych,genre_shiver pop,genre_shoegaze,genre_singer-songwriter,genre_south african house,genre_south african pop,genre_southern hip hop,genre_spanish indie pop,genre_sped up,genre_stomp and holler,genre_stomp pop,genre_sudanese hip hop,genre_sudanese pop,genre_swedish alternative rock,genre_swedish electropop,genre_swedish hip hop,genre_swedish indie pop,genre_swedish pop,genre_swedish soul,genre_swedish synthpop,genre_tech house,genre_trap,genre_trap argentino,genre_trap italiana,genre_trap latino,genre_trap queen,genre_trip hop,genre_tropical alternativo,genre_tropical house,genre_turntablism,genre_uk alternative hip hop,genre_uk alternative pop,genre_uk contemporary r&b,genre_uk dance,genre_uk dnb,genre_uk hip hop,genre_uk house,genre_uk pop,genre_uk post-punk revival,genre_ukg revival,genre_underground hip hop,genre_urbano espanol,genre_urbano latino,genre_uruguayan indie,genre_vapor pop,genre_vapor soul,genre_vapor twitch,genre_venezuelan hip hop,genre_venezuelan indie,genre_venezuelan rock,genre_viral pop,genre_washington indie,genre_welsh rock,genre_world,genre_world fusion,genre_zambian hip hop,genre_zimdancehall,genre_zurich indie
FIFA17,O B 1,0,320436,False,0.518,0.893,5,-6.719,1,0.0328,0.00122,0.000381,0.322,0.476,100.839,4,O B 1,2016-07-15,1,0,29,102071,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIFA17,Painting (Masterpiece),46,243413,True,0.726,0.861,6,-5.172,1,0.0695,0.277,4.12e-06,0.0589,0.711,91.962,4,Painting (Masterpiece),2016-07-22,2,38,46,187513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIFA17,Play It Out,0,204919,False,0.338,0.958,10,-2.374,0,0.0455,2.08e-05,1.25e-05,0.0681,0.231,145.021,4,Hills End,2016-02-26,12,0,53,238085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIFA17,Porcelain,0,241173,True,0.611,0.556,1,-7.31,1,0.056,0.399,0.000228,0.122,0.23,125.979,4,Porcelain / Wolf,2016-07-27,2,0,50,192784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIFA17,Postpone,51,245533,False,0.527,0.929,9,-3.858,1,0.0612,3.88e-05,0.00142,0.323,0.305,138.022,4,The Ride,2016-05-27,11,66,62,1003121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FIFA17,Raging (feat. Kodaline),59,224486,False,0.55,0.689,3,-7.76,0,0.094,0.0498,0.0,0.207,0.408,99.904,4,Raging (feat. Kodaline),2016-04-01,1,51,77,8460788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIFA17,Rumbera,17,212520,False,0.793,0.834,7,-7.156,1,0.0561,0.0109,0.000343,0.0923,0.858,115.006,4,Rumbera,2016-12-09,1,10,41,163364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIFA17,Run,0,359785,False,0.556,0.898,1,-5.465,1,0.0587,0.57,0.897,0.0951,0.127,125.99,4,U,2016-05-06,10,0,53,166732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FIFA17,Same Old Blues,0,211106,False,0.585,0.697,6,-3.376,0,0.0294,0.0662,6.83e-06,0.318,0.182,122.017,4,Same Old Blues,2016-09-16,1,0,64,790414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIFA17,Send Them Off!,0,200987,False,0.611,0.81,10,-3.468,0,0.0587,0.134,1.42e-06,0.254,0.45,99.996,4,Send Them Off!,2016-08-31,1,0,73,5487029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
